,amazon_index,filename,title,author,category_id,category,meta
0,553418025,0553418025.jpg,The Martian,Andy Weir,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780553418026', 'Title': 'The Martian - A Novel', 'Authors': ['Andy Weir'], 'Publisher': 'Broadway Books', 'Year': '2014', 'Language': 'en'}"
1,385539436,0385539436.jpg,Rogue Lawyer,John Grisham,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780553393484', 'Title': 'Rogue Lawyer - A Novel', 'Authors': ['John Grisham'], 'Publisher': 'Dell', 'Year': '2016', 'Language': 'en'}"
2,1476783454,1476783454.jpg,The Survivor (A Mitch Rapp Novel),Vince Flynn,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781628997491', 'Title': 'The Survivor', 'Authors': ['Vince Flynn', 'Kyle Mills'], 'Publisher': 'Center Point', 'Year': '2015', 'Language': 'en'}"
3,316349933,0316349933.jpg,Career of Evil (Cormoran Strike),Robert Galbraith,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780751571417', 'Title': 'Career Of Evil - A Strike Novel', 'Authors': ['Kelley Armstrong', 'Robert Galbraith'], 'Publisher': 'Sphere', 'Year': '2018', 'Language': 'en'}"
4,1594633665,1594633665.jpg,The Girl on the Train,Paula Hawkins,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781594633669', 'Title': 'The Girl On The Train - A Novel', 'Authors': ['Paula Hawkins'], 'Publisher': 'Penguin', 'Year': '2015', 'Language': 'en'}"
5,1501111671,1501111671.jpg,The Bazaar of Bad Dreams: Stories,Stephen King,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781501197956', 'Title': 'The Bazaar Of Bad Dreams - Stories', 'Authors': ['Stephen King'], 'Publisher': 'Scribner', 'Year': '2018', 'Language': 'en'}"
6,316225886,0316225886.jpg,The Crossing (Bosch),Michael Connelly,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455524150', 'Title': 'The Crossing', 'Authors': ['Michael Connelly'], 'Publisher': 'Vision', 'Year': '2016', 'Language': 'en'}"
7,446310786,0446310786.jpg,To Kill a Mockingbird,Harper Lee,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780446310789', 'Title': 'To Kill A Mockingbird', 'Authors': ['Harper Lee'], 'Publisher': 'Grand Central Publishing', 'Year': '1988', 'Language': 'en'}"
8,316410985,0316410985.jpg,The Murder House,James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455589906', 'Title': 'The Murder House', 'Authors': ['James Patterson', 'David Ellis'], 'Publisher': 'Grand Central Publishing', 'Year': '2016', 'Language': 'en'}"
9,1455586420,1455586420.jpg,The Guilty (Will Robie),David Baldacci,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455586400', 'Title': 'The Guilty', 'Authors': ['David Baldacci'], 'Publisher': 'Vision', 'Year': '2016', 'Language': 'en'}"
10,804178771,0804178771.jpg,Make Me: A Jack Reacher Novel,Lee Child,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780804178792', 'Title': 'Make Me - A Jack Reacher Novel', 'Authors': ['Lee Child'], 'Publisher': 'Dell', 'Year': '2016', 'Language': 'en'}"
11,345542967,0345542967.jpg,Tricky Twenty-Two: A Stephanie Plum Novel,Janet Evanovich,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780345542977', 'Title': 'Tricky Twenty-Two - A Stephanie Plum Novel', 'Authors': ['Janet Evanovich'], 'Publisher': 'Bantam', 'Year': '2016', 'Language': 'en'}"
12,307887448,0307887448.jpg,Ready Player One: A Novel,Ernest Cline,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780307887443', 'Title': 'Ready Player One', 'Authors': ['Ernest Cline'], 'Publisher': 'Broadway Books', 'Year': '2011', 'Language': 'en'}"
13,006232540X,006232540X.jpg,Depraved Heart: A Scarpetta Novel (Kay Scarpetta),Patricia Cornwell,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780062325419', 'Title': 'Depraved Heart - A Scarpetta Novel', 'Authors': ['Patricia Cornwell'], 'Publisher': 'William Morrow', 'Year': '2016', 'Language': 'en'}"
14,62429051,0062429051.jpg,Pretty Girls: A Novel,Karin Slaughter,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780062429070', 'Title': 'Pretty Girls - A Novel', 'Authors': ['Karin Slaughter'], 'Publisher': 'William Morrow', 'Year': '2016', 'Language': 'en'}"
15,765376709,0765376709.jpg,One Year After: A Novel,William R. Forstchen,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780765376718', 'Title': 'One Year After - A John Matherson Novel', 'Authors': ['William R. Forstchen'], 'Publisher': 'Forge Books', 'Year': '2016', 'Language': 'en'}"
16,1591846447,1591846447.jpg,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781591846444', 'Title': 'Start With Why - How Great Leaders Inspire Everyone To Take Action', 'Authors': ['Simon Sinek'], 'Publisher': 'Penguin', 'Year': '2011', 'Language': 'en'}"
17,1616149981,1616149981.jpg,The Life We Bury,Allen Eskens,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781616149987', 'Title': 'The Life We Bury', 'Authors': ['Allen Eskens'], 'Publisher': 'Seventh Street Books', 'Year': '2014', 'Language': 'en'}"
18,525954333,0525954333.jpg,A Banquet of Consequences: A Lynley Novel (Inspector Lynley Novel),Elizabeth George,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780451467850', 'Title': 'A Banquet Of Consequences - A Lynley Novel', 'Authors': ['Elizabeth George'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
19,399163840,0399163840.jpg,X (A Kinsey Millhone Novel),Sue Grafton,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781101981870', 'Title': 'X', 'Authors': ['Sue Grafton'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
20,399501487,0399501487.jpg,Lord of the Flies,William Golding,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780399501487', 'Title': 'Lord Of The Flies', 'Authors': ['William Golding'], 'Publisher': 'Penguin', 'Year': '2003', 'Language': 'en'}"
21,758278454,0758278454.jpg,What She Left Behind,Ellen Marie Wiseman,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780758278456', 'Title': 'What She Left Behind', 'Authors': ['Ellen Marie Wiseman'], 'Publisher': 'Kensington Books', 'Year': '2013', 'Language': 'en'}"
22,399176950,0399176950.jpg,Saturn Run,John Sandford,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781101987520', 'Title': 'Saturn Run', 'Authors': ['John Sandford', 'Ctein'], 'Publisher': 'Penguin', 'Year': '2017', 'Language': 'en'}"
23,812998685,0812998685.jpg,Slade House: A Novel,David Mitchell,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780812998689', 'Title': 'Slade House', 'Authors': ['David Mitchell'], 'Publisher': 'Random House', 'Year': '2015', 'Language': 'en'}"
24,425274861,0425274861.jpg,Big Little Lies,Liane Moriarty,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780399587207', 'Title': 'Big Little Lies', 'Authors': ['Liane Moriarty'], 'Publisher': 'Penguin', 'Year': '2017', 'Language': 'en'}"
25,030791156X,030791156X.jpg,The Woman Who Walked in Sunshine: No. 1 Ladies' Detective Agency (16) (No. 1 Ladies' Detective Agency Series),Alexander McCall Smith,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780804169912', 'Title': 'The Woman Who Walked In Sunshine', 'Authors': ['Alexander McCall Smith'], 'Publisher': 'Anchor Books', 'Year': '2016', 'Language': 'en'}"
26,1250101190,1250101190.jpg,The Revenant: A Novel of Revenge,Michael Punke,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781250072689', 'Title': 'The Revenant - A Novel Of Revenge', 'Authors': ['Michael Punke'], 'Publisher': 'Picador', 'Year': '2015', 'Language': 'en'}"
27,316407046,0316407046.jpg,Cross Justice (Alex Cross),James Patterson,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781455585137', 'Title': 'Cross Justice', 'Authors': ['James Patterson'], 'Publisher': 'Vision', 'Year': '2016', 'Language': 'en'}"
28,1476789630,1476789630.jpg,Luckiest Girl Alive: A Novel,Jessica Knoll,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9781476789644', 'Title': 'Luckiest Girl Alive - A Novel', 'Authors': ['Jessica Knoll'], 'Publisher': 'Simon and Schuster', 'Year': '2016', 'Language': 'en'}"
29,316098329,0316098329.jpg,Room: A Novel,Emma Donoghue,17,"Mystery, Thriller & Suspense","{'ISBN-13': '9780316268356', 'Title': 'Room - A Novel', 'Authors': ['Emma Donoghue'], 'Publisher': 'Little, Brown', 'Year': '2015', 'Language': 'en'}"
