,amazon_index,filename,title,author,category_id,category,meta,year,meta_author,decade,post_2010
0,1588345297,1588345297.jpg,With Schwarzkopf: Life Lessons of The Bear,Gus Lee,1,Biographies & Memoirs,"{""ISBN-13"": ""9781588345295"", ""Title"": ""With Schwarzkopf - Life Lessons Of The Bear"", ""Authors"": [""Gus Lee""], ""Publisher"": ""Smithsonian Institution"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Gus Lee,2010,post_2010
1,1404803335,1404803335.jpg,"Magnets: Pulling Together, Pushing Apart (Amazing Science)",Natalie M. Rosinsky,4,Children's Books,"{""ISBN-13"": ""9781404803336"", ""Title"": ""Magnets - Pulling Together, Pushing Apart"", ""Authors"": [""Natalie M. Rosinsky""], ""Publisher"": ""Capstone"", ""Year"": ""2002"", ""Language"": ""en""}",2002,Natalie M. Rosinsky,2000,pre_2010
2,471310115,0471310115.jpg,"Janice VanCleave's 201 Awesome, Magical, Bizarre, & Incredible Experiments",Janice VanCleave,4,Children's Books,"{""ISBN-13"": ""9780471310112"", ""Title"": ""Janice VanCleave's 201 Awesome, Magical, Bizarre, & Incredible Experiments"", ""Authors"": [""Janice VanCleave""], ""Publisher"": ""John Wiley & Sons"", ""Year"": ""1994"", ""Language"": ""en""}",1994,Janice VanCleave,1990,pre_2010
3,758266065,0758266065.jpg,"Breaking News (Godmothers, Book 5) (The Godmothers)",Fern Michaels,15,Literature & Fiction,"{""ISBN-13"": ""9780758266064"", ""Title"": ""Breaking News"", ""Authors"": [""Fern Michaels""], ""Publisher"": ""Kensington Books"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Fern Michaels,2010,post_2010
5,898706009,0898706009.jpg,The Cure of Ars: The Priest Who Out-Talked the Devil,Milton Lomask,4,Children's Books,"{""ISBN-13"": ""9780898706000"", ""Title"": ""The Cure Of Ars - The Priest Who Out-Talked The Devil"", ""Authors"": [""Milton Lomask""], ""Publisher"": ""Ignatius Press"", ""Year"": ""1997"", ""Language"": ""en""}",1997,Milton Lomask,1990,pre_2010
7,520271181,0520271181.jpg,Becoming Dr. Q: My Journey from Migrant Farm Worker to Brain Surgeon,Alfredo Quinones-Hinojosa,1,Biographies & Memoirs,"{""ISBN-13"": ""9780520274563"", ""Title"": ""Becoming Dr. Q - My Journey From Migrant Farm Worker To Brain Surgeon"", ""Authors"": [""Alfredo Qui\u00f1ones-Hinojosa"", ""Mim Eichler Rivas""], ""Publisher"": ""University of California Press"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Alfredo Quinones-Hinojosa,2010,post_2010
9,375858938,0375858938.jpg,Discovery in the Cave (Step into Reading),Mark Dubowski,4,Children's Books,"{""ISBN-13"": ""9780375858932"", ""Title"": ""Discovery In The Cave"", ""Authors"": [""Mark Dubowski""], ""Publisher"": ""Random House Books for Young Readers"", ""Year"": ""2010"", ""Language"": ""en""}",2010,Mark Dubowski,2010,post_2010
10,1457532506,1457532506.jpg,The Black Wall of Silence: A Novel,Paul Morrissey,15,Literature & Fiction,"{""ISBN-13"": ""9781457532504"", ""Title"": ""The Black Wall Of Silence"", ""Authors"": [""Paul Morrissey""], ""Publisher"": ""Dog Ear Publishing"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Paul Morrissey,2010,post_2010
11,778316254,0778316254.jpg,A Man's Promise (The Grangers),Brenda Jackson,22,Romance,"{""ISBN-13"": ""9780778316251"", ""Title"": ""A Man's Promise"", ""Authors"": [""Brenda Jackson""], ""Publisher"": ""MIRA"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Brenda Jackson,2010,post_2010
12,1451685246,1451685246.jpg,The Prince Who Loved Me (The Oxenburg Princes),Karen Hawkins,22,Romance,"{""ISBN-13"": ""9781451685244"", ""Title"": ""The Prince Who Loved Me"", ""Authors"": [""Karen Hawkins""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Karen Hawkins,2010,post_2010
13,811858030,0811858030.jpg,Charlotte in Giverny,Joan MacPhail Knight,4,Children's Books,"{""ISBN-13"": ""9780811858038"", ""Title"": ""Charlotte In Giverny"", ""Authors"": [""Joan MacPhail Knight""], ""Publisher"": ""Chronicle Books"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Joan MacPhail Knight,2000,pre_2010
14,471219819,0471219819.jpg,The Maya: Activities and Crafts from a Mysterious Land (Secrets of Ancient Cultures),Arlette N. Braman,4,Children's Books,"{""ISBN-13"": ""9780471219811"", ""Title"": ""Secrets of Ancient Cultures - The Maya\u2014Activities and Crafts from a Mysterious Land"", ""Authors"": [""Arlette N. Braman""], ""Publisher"": ""Jossey-Bass"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Arlette N. Braman,2000,pre_2010
15,894908243,0894908243.jpg,Bill Gates: Billionaire Computer Genius (People to Know),Joan D. Dickinson,4,Children's Books,"{""ISBN-13"": ""9780894908248"", ""Title"": ""Bill Gates, Billionaire Computer Genius"", ""Authors"": [""Joan D. Dickinson""], ""Publisher"": ""Enslow Pub Incorporated"", ""Year"": ""1997"", ""Language"": ""en""}",1997,Joan D. Dickinson,1990,pre_2010
17,1567924212,1567924212.jpg,Swallowdale (Swallows and Amazons),Arthur Ransome,4,Children's Books,"{""ISBN-13"": ""9781567924213"", ""Title"": ""Swallowdale"", ""Authors"": [""Arthur Ransome""], ""Publisher"": ""David R. Godine Publisher"", ""Year"": ""2010"", ""Language"": ""en""}",2010,Arthur Ransome,2010,post_2010
18,718022459,0718022459.jpg,Jesus Is Student Edition: Discovering Who He Is Changes Who You Are,Judah Smith,4,Children's Books,"{""ISBN-13"": ""9780718022457"", ""Title"": ""Jesus Is - Discovering Who He Is Changes Who You Are"", ""Authors"": [""Judah Smith""], ""Publisher"": ""Thomas Nelson"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Judah Smith,2010,post_2010
20,547248296,0547248296.jpg,Snowflake Bentley,Jacqueline Briggs Martin,4,Children's Books,"{""ISBN-13"": ""9780547248295"", ""Title"": ""Snowflake Bentley"", ""Authors"": [""Jacqueline Briggs Martin""], ""Publisher"": ""Houghton Mifflin Harcourt"", ""Year"": ""1998"", ""Language"": ""en""}",1998,Jacqueline Briggs Martin,1990,pre_2010
21,691164215,0691164215.jpg,The Life and Struggles of Our Mother Walatta Petros: A Seventeenth-Century African Biography of an Ethiopian Woman,Galawdewos,1,Biographies & Memoirs,"{""ISBN-13"": ""9780691164212"", ""Title"": ""The Life And Struggles Of Our Mother Walatta Petros - A Seventeenth-Century African Biography Of An Ethiopian Woman"", ""Authors"": [""Galawdewos""], ""Publisher"": ""Princeton University Press"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Galawdewos,2010,post_2010
22,385540108,0385540108.jpg,My History: A Memoir of Growing Up,Antonia Fraser,1,Biographies & Memoirs,"{""ISBN-13"": ""9780385540100"", ""Title"": ""My History - A Memoir Of Growing Up"", ""Authors"": [""Antonia Fraser""], ""Publisher"": ""Nan A. Talese"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Antonia Fraser,2010,post_2010
23,1597843423,1597843423.jpg,My Guide to Understanding Islam (Vol. 2),Yusuf Karagol,27,Teen & Young Adult,"{""ISBN-13"": ""9781597843423"", ""Title"": ""My Guide To Understanding Islam"", ""Authors"": [""Yusuf Karagol""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Yusuf Karagol,2010,post_2010
24,1590843983,1590843983.jpg,Ninjutsu (Martial and Fighting Arts),Eric Chaline,27,Teen & Young Adult,"{""ISBN-13"": ""9781590843987"", ""Title"": ""Ninjutsu"", ""Authors"": [""Eric Chaline""], ""Publisher"": ""Mason Crest Publishers"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Eric Chaline,2000,pre_2010
27,894907980,0894907980.jpg,Andre Agassi: Star Tennis Player (Sports Reports),Ron Knapp,4,Children's Books,"{""ISBN-13"": ""9780894907982"", ""Title"": ""Andre Agassi - Star Tennis Player"", ""Authors"": [""Ron Knapp""], ""Publisher"": ""Enslow Pub Incorporated"", ""Year"": ""1997"", ""Language"": ""en""}",1997,Ron Knapp,1990,pre_2010
28,159200900X,159200900X.jpg,3D Game Programming for Teens,Eric D. Grebler,4,Children's Books,"{""ISBN-13"": ""9781592009008"", ""Title"": ""3D Game Programming For Teens"", ""Authors"": [""Eric D. Grebler""], ""Publisher"": ""Course Technology Ptr"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Eric D. Grebler,2000,pre_2010
29,1848424949,1848424949.jpg,Nell Gwynn,Jessica Swale,15,Literature & Fiction,"{""ISBN-13"": ""9781848425590"", ""Title"": ""Nell Gwynn"", ""Authors"": [""Jessica Swale""], ""Publisher"": ""Nick Hern Books"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Jessica Swale,2010,post_2010
31,64436020,0064436020.jpg,I Love You! A Bushel & A Peck,Frank Loesser,4,Children's Books,"{""ISBN-13"": ""9780064436021"", ""Title"": ""I Love You! A Bushel & A Peck"", ""Authors"": [""Frank Loesser""], ""Publisher"": ""Harper Collins"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Frank Loesser,2000,pre_2010
33,531245047,0531245047.jpg,You Wouldn't Want to Be in a Medieval Dungeon!: Prisoners You'd Rather Not Meet,Fiona MacDonald,4,Children's Books,"{""ISBN-13"": ""9780531166512"", ""Title"": ""You Wouldn't Want To Be In A Medieval Dungeon! - Prisoners You'd Rather Not Meet"", ""Authors"": [""Fiona MacDonald"", ""David Antram"", ""David Salariya""], ""Publisher"": ""Children's Press(CT)"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Fiona MacDonald,2000,pre_2010
34,771025084,0771025084.jpg,Bench Bosses: The NHL's Coaching Elite,Matthew DiBiase,1,Biographies & Memoirs,"{""ISBN-13"": ""9780771025082"", ""Title"": ""Bench Bosses - The NHL's Coaching Elite"", ""Authors"": [""Matthew DiBiase""], ""Publisher"": ""Fenn-M&S"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Matthew DiBiase,2010,post_2010
36,1567921655,1567921655.jpg,The Field and Forest Handy Book: New Ideas for Out of Doors (Nonpareil Book),Daniel Carter Beard,27,Teen & Young Adult,"{""ISBN-13"": ""9781567921656"", ""Title"": ""The Field And Forest Handy Book - New Ideas For Out Of Doors"", ""Authors"": [""Daniel Carter Beard""], ""Publisher"": ""David R. Godine Publisher"", ""Year"": ""2000"", ""Language"": ""en""}",2000,Daniel Carter Beard,2000,pre_2010
38,764166441,0764166441.jpg,"Papa Chagall, Tell Us a Story",Laurence Anholt,4,Children's Books,"{""ISBN-13"": ""9781847806581"", ""Title"": ""Tell Us A Story, Papa Chagall"", ""Authors"": [""Laurence Anholt""], ""Publisher"": ""Frances Lincoln Children's Bks"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Laurence Anholt,2010,post_2010
39,1590300068,1590300068.jpg,"The Wave in the Mind: Talks and Essays on the Writer, the Reader, and the Imagination",Ursula K. Le Guin,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781590300060"", ""Title"": ""The Wave In The Mind - Talks And Essays On The Writer, The Reader, And The Imagination"", ""Authors"": [""Ursula K. Le Guin""], ""Publisher"": ""Shambhala Publications"", ""Year"": ""2004"", ""Language"": ""en""}",2004,Ursula K. Le Guin,2000,pre_2010
40,761356487,0761356487.jpg,Sadie's Sukkah Breakfast,Jamie S. Korngold,4,Children's Books,"{""ISBN-13"": ""9780761356486"", ""Title"": ""Sadie's Sukkah Breakfast"", ""Authors"": [""Jamie S. Korngold""], ""Publisher"": ""Kar-Ben Publishing"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Jamie S. Korngold,2010,post_2010
41,1453738428,1453738428.jpg,Black Obsession - Censored,Melissa Dubban,22,Romance,"{""ISBN-13"": ""9781453738429"", ""Title"": ""Black Obsession - Censored"", ""Authors"": [""Melissa Dubban""], ""Publisher"": ""CreateSpace"", ""Year"": ""2010"", ""Language"": ""en""}",2010,Melissa Dubban,2010,post_2010
43,1481831348,1481831348.jpg,The Black Billionaire,Jenna Powers,22,Romance,"{""ISBN-13"": ""9781481831345"", ""Title"": ""The Black Billionaire"", ""Authors"": [""Jenna Powers""], ""Publisher"": """", ""Year"": ""2012"", ""Language"": ""en""}",2012,Jenna Powers,2010,post_2010
45,B00GOA2JVS,B00GOA2JVS.jpg,"Lord of Fire, Lady of Ice",Michelle M. Pillow,22,Romance,"{""ISBN-13"": ""9781625010087"", ""Title"": ""Lord Of Fire, Lady Of Ice"", ""Authors"": [""Michelle M. Pillow""], ""Publisher"": """", ""Year"": ""2013"", ""Language"": ""en""}",2013,Michelle M. Pillow,2010,post_2010
46,385325746,0385325746.jpg,Inside The Alamo,Jim Murphy,4,Children's Books,"{""ISBN-13"": ""9780385325745"", ""Title"": ""Inside The Alamo"", ""Authors"": [""Jim Murphy""], ""Publisher"": ""Delacorte Books for Young Readers"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Jim Murphy,2000,pre_2010
48,1932096108,1932096108.jpg,Theodore Roosevelt: An American Original (Heroes of History),Janet Benge,4,Children's Books,"{""ISBN-13"": ""9781932096101"", ""Title"": ""Theodore Roosevelt - An American Original"", ""Authors"": [""Janet Benge"", ""Geoff Benge""], ""Publisher"": ""YWAM Publishing"", ""Year"": ""2004"", ""Language"": ""en""}",2004,Janet Benge,2000,pre_2010
49,974189405,0974189405.jpg,Haiku: A Poet's Guide,Lee Gurga,15,Literature & Fiction,"{""ISBN-13"": ""9780974189406"", ""Title"": ""Haiku - A Poet's Guide"", ""Authors"": [""Lee Gurga""], ""Publisher"": """", ""Year"": ""2003"", ""Language"": ""en""}",2003,Lee Gurga,2000,pre_2010
50,1429611944,1429611944.jpg,La huerta de manzanas / The Apple Orchard (Una visita a... / A Visit to...) (Multilingual Edition),Patricia J. Murphy,4,Children's Books,"{""ISBN-13"": ""9781429611947"", ""Title"": ""Apple Orchard"", ""Authors"": [""Patricia J. Murphy""], ""Publisher"": ""Capstone"", ""Year"": ""2007"", ""Language"": ""es""}",2007,Patricia J. Murphy,2000,pre_2010
51,1627200606,1627200606.jpg,The Spider Weaver: A Legend of Kente Cloth,Margaret Musgrove,4,Children's Books,"{""ISBN-13"": ""9781627200608"", ""Title"": ""The Spider Weaver: A Legend Of Kente Cloth"", ""Authors"": [""Margaret Musgrove""], ""Publisher"": ""Apprentice House"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Margaret Musgrove,2010,post_2010
52,1604535148,1604535148.jpg,The Irish Potato Famine (Essential Events (ABDO)),Joseph R. O'Neill,27,Teen & Young Adult,"{""ISBN-13"": ""9781604535143"", ""Title"": ""The Irish Potato Famine"", ""Authors"": [""Joseph R. O'Neill""], ""Publisher"": ""Abdo Group"", ""Year"": ""2009"", ""Language"": ""en""}",2009,Joseph R. O'Neill,2000,pre_2010
53,1611171903,1611171903.jpg,Greek Revival from the Garden: Growing and Cooking for Life (Young Palmetto Books),Patricia Moore-Pastides,27,Teen & Young Adult,"{""ISBN-13"": ""9781611171907"", ""Title"": ""Greek Revival From The Garden - Growing And Cooking For Life"", ""Authors"": [""Patricia Moore-Pastides""], ""Publisher"": """", ""Year"": ""2013"", ""Language"": ""en""}",2013,Patricia Moore-Pastides,2010,post_2010
54,791088545,0791088545.jpg,Mexico City (Global Cities)**Out of Print**,Edward Parker,27,Teen & Young Adult,"{""ISBN-13"": ""9780791088548"", ""Title"": ""Mexico City"", ""Authors"": [""Edward Parker""], ""Publisher"": ""Chelsea House"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Edward Parker,2000,pre_2010
55,1846033454,1846033454.jpg,Storm of Arrows: Field of Glory late Medieval Army List,Richard Bodley-Scott,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781846033452"", ""Title"": ""Storm Of Arrows - Field Of Glory Late Medieval Army List"", ""Authors"": [""Richard Bodley-Scott""], ""Publisher"": ""Osprey Publishing"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Richard Bodley-Scott,2000,pre_2010
56,1419953966,1419953966.jpg,Wicked Sacrifice (Books 4 and 5),Lora Leigh,22,Romance,"{""ISBN-13"": ""9781419953965"", ""Title"": ""Wicked Sacrifice"", ""Authors"": [""Lora Leigh""], ""Publisher"": ""Elloras Cave Pub Incorporated"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Lora Leigh,2000,pre_2010
57,446694851,0446694851.jpg,Three Weeks with My Brother,Nicholas Sparks,1,Biographies & Memoirs,"{""ISBN-13"": ""9780446694858"", ""Title"": ""Three Weeks With My Brother"", ""Authors"": [""Nicholas Sparks"", ""Micah Sparks""], ""Publisher"": ""Grand Central Publishing"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Nicholas Sparks,2000,pre_2010
58,1618930060,1618930060.jpg,Sports Illustrated Kids Full Count: Top 10 Lists of Everything in Baseball,The Editors of Sports Illustrated Kids,4,Children's Books,"{""ISBN-13"": ""9781618930064"", ""Title"": ""Full Count - Top 10 Lists Of Everything In Baseball"", ""Authors"": [""The Editors of Sports Illustrated Kids""], ""Publisher"": ""Sports Illustrated Kids"", ""Year"": ""2012"", ""Language"": ""en""}",2012,The Editors of Sports Illustrated Kids,2010,post_2010
59,399226842,0399226842.jpg,The Very Quiet Cricket Board Book,Eric Carle,4,Children's Books,"{""ISBN-13"": ""9780399226847"", ""Title"": ""The Very Quiet Cricket"", ""Authors"": [""Eric Carle""], ""Publisher"": ""Putnam Juvenile"", ""Year"": ""1997"", ""Language"": ""en""}",1997,Eric Carle,1990,pre_2010
61,1848424418,1848424418.jpg,King Charles III: West End Edition,Mike Bartlett,15,Literature & Fiction,"{""ISBN-13"": ""9781848424418"", ""Title"": ""King Charles III"", ""Authors"": [""Mike Bartlett""], ""Publisher"": ""Nick Hern Books"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Mike Bartlett,2010,post_2010
63,131662554,0131662554.jpg,Prentice-Hall Biology,Kenneth R. Miller,27,Teen & Young Adult,"{""ISBN-13"": ""9780131662551"", ""Title"": ""Biology"", ""Authors"": [""Kenneth R. Miller"", ""Joseph S. Levine""], ""Publisher"": ""Pearson Prentice Hall"", ""Year"": ""2004"", ""Language"": ""en""}",2004,Kenneth R. Miller,2000,pre_2010
64,62116398,0062116398.jpg,The Tennis Partner,Abraham Verghese,1,Biographies & Memoirs,"{""ISBN-13"": ""9780062116390"", ""Title"": ""The Tennis Partner"", ""Authors"": [""Abraham Verghese""], ""Publisher"": ""Harper Perennial"", ""Year"": ""2011"", ""Language"": ""en""}",2011,Abraham Verghese,2010,post_2010
65,1591601207,1591601207.jpg,My Body Is The Temple,Stephanie Butler,15,Literature & Fiction,"{""ISBN-13"": ""9781591601203"", ""Title"": ""My Body Is The Temple"", ""Authors"": [""Stephanie Butler""], ""Publisher"": ""Xulon Press"", ""Year"": ""2002"", ""Language"": ""en""}",2002,Stephanie Butler,2000,pre_2010
66,1613731930,1613731930.jpg,"Michelangelo for Kids: His Life and Ideas, with 21 Activities (For Kids series)",Simonetta Carr,4,Children's Books,"{""ISBN-13"": ""9781613731932"", ""Title"": ""Michelangelo For Kids - His Life And Ideas, With 21 Activities"", ""Authors"": [""Simonetta Carr""], ""Publisher"": """", ""Year"": ""2016"", ""Language"": ""en""}",2016,Simonetta Carr,2010,post_2010
67,996621806,0996621806.jpg,Harry and Eddie: The Friendship That Changed the World,Beverly Joan Boulware,4,Children's Books,"{""ISBN-13"": ""9780996621809"", ""Title"": ""Harry And Eddie - The Friendship That Changed The World"", ""Authors"": [""Beverly Joan Boulware""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Beverly Joan Boulware,2010,post_2010
68,1476727228,1476727228.jpg,Revealing Us (The Inside Out Series),Lisa Renee Jones,22,Romance,"{""ISBN-13"": ""9781501125010"", ""Title"": ""Revealing Us"", ""Authors"": [""Lisa Renee Jones""], ""Publisher"": ""Pocket Books"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Lisa Renee Jones,2010,post_2010
69,1512185566,1512185566.jpg,"FNAF Funny Jokes, Hilarious Memes & Pictures: An Unofficial Five Nights At Freddy's Book",Survival Press,4,Children's Books,"{""ISBN-13"": ""9781512185560"", ""Title"": ""Fnaf Funny Jokes, Hilarious Memes & Pictures - An Unofficial Five Nights At Freddy's Book"", ""Authors"": [""Survival Press""], ""Publisher"": ""CreateSpace"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Survival Press,2010,post_2010
71,807505978,0807505978.jpg,A Beautiful Lie,Irfan Master,27,Teen & Young Adult,"{""ISBN-13"": ""9780807505977"", ""Title"": ""A Beautiful Lie"", ""Authors"": [""Irfan Master""], ""Publisher"": ""AW Teen"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Irfan Master,2010,post_2010
