,amazon_index,filename,image_url,title,author,category_id,category
0,1588345297,1588345297.jpg,http://ecx.images-amazon.com/images/I/51l6XIoa3rL.jpg,With Schwarzkopf: Life Lessons of The Bear,Gus Lee,1,Biographies & Memoirs
1,1404803335,1404803335.jpg,http://ecx.images-amazon.com/images/I/51UJnL3Tx6L.jpg,"Magnets: Pulling Together, Pushing Apart (Amazing Science)",Natalie M. Rosinsky,4,Children's Books
15,471310115,0471310115.jpg,http://ecx.images-amazon.com/images/I/61JkH6IoBVL.jpg,"Janice VanCleave's 201 Awesome, Magical, Bizarre, & Incredible Experiments",Janice VanCleave,4,Children's Books
18,758266065,0758266065.jpg,http://ecx.images-amazon.com/images/I/51wuInBbvjL.jpg,"Breaking News (Godmothers, Book 5) (The Godmothers)",Fern Michaels,15,Literature & Fiction
23,393925609,0393925609.jpg,http://ecx.images-amazon.com/images/I/41OwekbpbvL.jpg,Byron's Poetry and Prose (Norton Critical Edition),George Gordon Byron,15,Literature & Fiction
33,898706009,0898706009.jpg,http://ecx.images-amazon.com/images/I/51zOV5o7u5L.jpg,The Cure of Ars: The Priest Who Out-Talked the Devil,Milton Lomask,4,Children's Books
40,859531414,0859531414.jpg,http://ecx.images-amazon.com/images/I/51OP%2BSxA1YL.jpg,Five Little Ducks (Classic Books With Holes),Annie Kubler,4,Children's Books
42,520271181,0520271181.jpg,http://ecx.images-amazon.com/images/I/51s8awrmTRL.jpg,Becoming Dr. Q: My Journey from Migrant Farm Worker to Brain Surgeon,Alfredo Quinones-Hinojosa,1,Biographies & Memoirs
46,30683734,0030683734.jpg,http://ecx.images-amazon.com/images/I/51mLptRB3fL.jpg,Elements of Literature: Student Edition Grade 7 First Course 2005,RINEHART AND WINSTON HOLT,4,Children's Books
47,375858938,0375858938.jpg,http://ecx.images-amazon.com/images/I/51I52I%2BcXkL.jpg,Discovery in the Cave (Step into Reading),Mark Dubowski,4,Children's Books
67,1457532506,1457532506.jpg,http://ecx.images-amazon.com/images/I/41ZHnHoFy4L.jpg,The Black Wall of Silence: A Novel,Paul Morrissey,15,Literature & Fiction
72,778316254,0778316254.jpg,http://ecx.images-amazon.com/images/I/51ZE6NEwmQL.jpg,A Man's Promise (The Grangers),Brenda Jackson,22,Romance
76,1451685246,1451685246.jpg,http://ecx.images-amazon.com/images/I/51I5v%2BgVu5L.jpg,The Prince Who Loved Me (The Oxenburg Princes),Karen Hawkins,22,Romance
85,811858030,0811858030.jpg,http://ecx.images-amazon.com/images/I/51LxEARLFrL.jpg,Charlotte in Giverny,Joan MacPhail Knight,4,Children's Books
90,1615305289,1615305289.jpg,http://ecx.images-amazon.com/images/I/51T5OKHXupL.jpg,The Britannica Guide to Basketball (The World of Sports),,27,Teen & Young Adult
93,471219819,0471219819.jpg,http://ecx.images-amazon.com/images/I/51PSUNgOKeL.jpg,The Maya: Activities and Crafts from a Mysterious Land (Secrets of Ancient Cultures),Arlette N. Braman,4,Children's Books
100,894908243,0894908243.jpg,http://ecx.images-amazon.com/images/I/51EuW%2BMvGFL.jpg,Bill Gates: Billionaire Computer Genius (People to Know),Joan D. Dickinson,4,Children's Books
107,1941450067,1941450067.jpg,http://ecx.images-amazon.com/images/I/51ntJ4PWETL.jpg,Secret,Kindle Alexander,22,Romance
110,1567924212,1567924212.jpg,http://ecx.images-amazon.com/images/I/51Lg9VdQ2bL.jpg,Swallowdale (Swallows and Amazons),Arthur Ransome,4,Children's Books
116,718022459,0718022459.jpg,http://ecx.images-amazon.com/images/I/41ithisNhdL.jpg,Jesus Is Student Edition: Discovering Who He Is Changes Who You Are,Judah Smith,4,Children's Books
