,0,1,2
0,"Troubled Daughters, Twisted Wives: Stories from the Trailblazers of Domestic Suspense",9780143122548,"{'ISBN-13': '9780143122548', 'Title': 'Troubled Daughters, Twisted Wives - Stories From The Trailblazers Of Domestic Suspense', 'Authors': ['Sarah Weinman'], 'Publisher': 'Penguin', 'Year': '2013', 'Language': 'en'}"
1,A Guide for the Perplexed: A Novel,9780393348880,"{'ISBN-13': '9780393348880', 'Title': 'A Guide For The Perplexed: A Novel', 'Authors': ['Dara Horn'], 'Publisher': 'W. W. Norton & Company', 'Year': '2014', 'Language': 'en'}"
2,Love Without Limits,9781601426185,"{'ISBN-13': '9781601426185', 'Title': 'Love Without Limits - A Remarkable Story Of True Love Conquering All', 'Authors': ['Nick Vujicic', 'Kanae Vujicic'], 'Publisher': 'WaterBrook', 'Year': '2016', 'Language': 'en'}"
3,Finding Your True North: A Bullied Teen's Journey of Hope,9781312374980,"{'ISBN-13': '9781312374980', 'Title': ""Finding Your True North - A Bullied Teen's Journey Of Hope"", 'Authors': ['Thomas A. Russell'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
4,Opposing Viewpoints Series - Terminal Illness,9780737705256,"{'ISBN-13': '9780737705256', 'Title': 'Terminal Illness - Opposing Viewpoints', 'Authors': ['Mary E. Williams'], 'Publisher': 'Greenhaven Press, Incorporated', 'Year': '2001', 'Language': 'en'}"
5,Tome of Battle: The Book of Nine Swords (Dungeons & Dragons d20 3.5 Fantasy Roleplaying),9780786939220,"{'ISBN-13': '9780786939220', 'Title': 'Tome Of Battle - The Book Of Nine Swords', 'Authors': ['Richard Baker', 'Frank Brunner', 'Matthew Sernett'], 'Publisher': '', 'Year': '2006', 'Language': 'en'}"
6,Dreams from My Father: A Story of Race and Inheritance,9781400082773,"{'ISBN-13': '9781400082773', 'Title': 'Dreams From My Father - A Story Of Race And Inheritance', 'Authors': ['Barack Obama'], 'Publisher': 'Broadway Books', 'Year': '2004', 'Language': 'en'}"
7,Mysteries Unwrapped: The Secrets of Alcatraz,9781402735912,"{'ISBN-13': '9781402735912', 'Title': 'The Secrets Of Alcatraz', 'Authors': ['Susan Sloate'], 'Publisher': 'Sterling Publishing Company, Inc.', 'Year': '2008', 'Language': 'en'}"
8,The Keeper: The Unguarded Story of Tim Howard Young Readers' Edition,9780062387585,"{'ISBN-13': '9780062387585', 'Title': ""The Keeper: The Unguarded Story Of Tim Howard (Young Readers' Edition)"", 'Authors': ['Tim Howard'], 'Publisher': 'HarperCollins', 'Year': '2015', 'Language': 'en'}"
9,The Wedding Quilt: An Elm Creek Quilts Novel,9780452298491,"{'ISBN-13': '9780452298491', 'Title': 'The Wedding Quilt', 'Authors': ['Jennifer Chiaverini'], 'Publisher': 'Plume', 'Year': '2012', 'Language': 'en'}"
