,0,1,2
0,The Billionaire Banker Series Box Set 1-3,9781910575017,"{'ISBN-13': '9781910575017', 'Title': 'The Billionaire Banker Series Box Set 1-3', 'Authors': ['Georgia Le Carre'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
1,Way of the Warrior,9781601429568,"{'ISBN-13': '9781601429568', 'Title': 'The Way Of The Warrior - An Ancient Path To Inner Peace', 'Authors': ['Erwin Raphael McManus'], 'Publisher': 'WaterBrook Press', 'Year': '2019', 'Language': 'en'}"
2,Sudden Sex: 69 Sultry Short Stories,9781573449007,"{'ISBN-13': '9781573449007', 'Title': 'Sudden Sex - 69 Sultry Short Stories', 'Authors': ['Alison Tyler'], 'Publisher': 'Cleis Press', 'Year': '2013', 'Language': 'en'}"
3,1001 Dark Nights: Bundle Two,9781682305713,"{'ISBN-13': '9781682305713', 'Title': '1001 Dark Nights - Bundle Two', 'Authors': ['Lexi Blake', 'Larissa Ione', 'Lisa Renee Jones', 'Cherise Sinclair'], 'Publisher': 'EverAfter Romance', 'Year': '2016', 'Language': 'en'}"
4,Best of Best Women's Erotica 2,9781573443791,"{'ISBN-13': '9781573443791', 'Title': ""Best Of Best Women's Erotica 2"", 'Authors': ['Violet Blue'], 'Publisher': 'Cleis Press', 'Year': '2010', 'Language': 'en'}"
5,Christmas is in the Air,9780989526265,"{'ISBN-13': '9780989526265', 'Title': 'Christmas Is In The Air', 'Authors': ['Polly McCrillis', 'Erin E. M. Hatton', 'Billie Warren Chai'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
6,Growl,9781548263454,"{'ISBN-13': '9781548263454', 'Title': 'Growl', 'Authors': ['Robert S. Hobday, Jr.'], 'Publisher': 'Createspace Independent Publishing Platform', 'Year': '2017', 'Language': 'en'}"
7,Christmas Brides,9781250060563,"{'ISBN-13': '9781250060563', 'Title': 'Christmas Brides', 'Authors': ['Suzanne Enoch', 'Alexandra Hawkins', 'Elizabeth Essex', 'Valerie Bowman'], 'Publisher': 'Macmillan', 'Year': '2014', 'Language': 'en'}"
8,"Love Affairs: A Collection of Contemporary, Historical and Paranormal Novellas",9781626509948,"{'ISBN-13': '9781626509948', 'Title': 'Love Affairs', 'Authors': ['Sylvia Day'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
9,Trophy Husband,9781484055267,"{'ISBN-13': '9781484055267', 'Title': 'Trophy Husband', 'Authors': ['Lauren Blakely'], 'Publisher': 'Lauren Blakely Books', 'Year': '2013', 'Language': 'en'}"
