,0,1,2
0,iPad. Edicion 2012 (Spanish Edition),9788441532076,"{'ISBN-13': '9788441532076', 'Title': 'iPad - edición 2012', 'Authors': ['J. D. Biersdorfer'], 'Publisher': 'Anaya Multimedia-Anaya Interactiva', 'Year': '2012', 'Language': 'es'}"
1,The Bounty Hunter Code: From the Files of Boba Fett,9781477805985,"{'ISBN-13': '9781477805985', 'Title': 'The Bounty Hunter Code - From The Files Of Boba Fett', 'Authors': ['Daniel Wallace', 'Ryder Windham', 'Jason Fry'], 'Publisher': '47North', 'Year': '2013', 'Language': 'en'}"
2,The 5 in 10 Cookbook 5 Ingredients in 10 Minutes or Less Paula Hamilton,9780688119270,"{'ISBN-13': '9780688119270', 'Title': 'Five In Ten Cookbook', 'Authors': ['Paula Hamilton'], 'Publisher': 'William Morrow Cookbooks', 'Year': '1993', 'Language': 'en'}"
3,Peter Schlesinger: A Photographic Memory 1968-1989,9788862084369,"{'ISBN-13': '9788862084369', 'Title': 'Peter Schlesinger', 'Authors': [''], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
4,All Night Long: How to Make Love to a Man Over 50,9781590770276,"{'ISBN-13': '9781590770276', 'Title': 'All Night Long - How To Make Love To A Man Over 50', 'Authors': ['Barbara Keesling'], 'Publisher': 'M Evans & Company', 'Year': '2004', 'Language': 'en'}"
5,T-Machines Turbo Guide (Teenage Mutant Ninja Turtles) (Pictureback(R)),9780553538670,"{'ISBN-13': '9780553538670', 'Title': 'T-Machines Turbo Guide (Teenage Mutant Ninja Turtles)', 'Authors': ['Random House'], 'Publisher': 'Random House Books for Young Readers', 'Year': '2015', 'Language': 'en'}"
6,The Norton Reader: An Anthology of Nonfiction (Shorter Thirteenth Edition),9780393912197,"{'ISBN-13': '9780393912197', 'Title': 'The Norton Reader - An Anthology Of Nonfiction', 'Authors': ['Linda H. Peterson', 'Melissa A. Goldthwaite'], 'Publisher': 'W. W. Norton', 'Year': '2011', 'Language': 'en'}"
7,Speech Spectrum Analysis (Signals and Communication Technology),9783642174773,"{'ISBN-13': '9783642174773', 'Title': 'Speech Spectrum Analysis', 'Authors': ['Sean Fulop'], 'Publisher': 'Springer', 'Year': '2011', 'Language': 'en'}"
8,The Comparative Pathology of Zoo Animals. (The Symposia of the National Zoological Park),9780874746433,"{'ISBN-13': '9780874746433', 'Title': 'COMPL PATH ZOO ANIMALS PB', 'Authors': ['Richard J. Montali', 'George Migaki', 'National Zoological Park (U.S.)'], 'Publisher': 'Smithsonian', 'Year': '1980', 'Language': 'en'}"
9,Life and Teaching of the Masters of the Far East (Volume One),9780875163635,"{'ISBN-13': '9780875163635', 'Title': 'Life And Teaching Of The Masters Of The Far East', 'Authors': ['Baird Thomas Spalding'], 'Publisher': 'Devorss Publications', 'Year': '1964', 'Language': 'en'}"
