,0,1,2
0,Native American Cookbook: Harvests From Nature (Volume 1),9781479145331,"{'ISBN-13': '9781479145331', 'Title': 'Native American Cookbook - Harvests From Nature', 'Authors': ['Billie Williams'], 'Publisher': '', 'Year': '2012', 'Language': 'en'}"
1,The Most Beautiful Villages of Spain,9780500511282,"{'ISBN-13': '9780500511282', 'Title': 'The Most Beautiful Villages Of Spain', 'Authors': [''], 'Publisher': '', 'Year': '2003', 'Language': 'en'}"
2,Persisting Ecological Constraints of Tropical   Agriculture,9780470218730,"{'ISBN-13': '9780470218730', 'Title': 'The Persisting Ecological Constraints Of Tropical Agriculture', 'Authors': ['Wolfgang Weischet', 'César Caviedes'], 'Publisher': 'Longman Sc & Tech', 'Year': '1993', 'Language': 'en'}"
3,inGenius: A Crash Course on Creativity,9780062020703,"{'ISBN-13': '9780062020703', 'Title': 'InGenius - A Crash Course On Creativity', 'Authors': ['Tina Seelig'], 'Publisher': 'HarperOne', 'Year': '2012', 'Language': 'en'}"
4,Speak Your Truth: How You Can Recover from Lupus,9781452595078,"{'ISBN-13': '9781452595078', 'Title': 'Speak Your Truth', 'Authors': ['Denise A. Dorfman'], 'Publisher': 'Balboa Press', 'Year': '2014', 'Language': 'en'}"
5,Night Soldiers: A Novel,9780375760006,"{'ISBN-13': '9780375760006', 'Title': 'Night Soldiers - A Novel', 'Authors': ['Alan Furst'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2002', 'Language': 'en'}"
6,For a Continuing Church: The Roots of the Presbyterian Church in America,9781629951065,"{'ISBN-13': '9781629951065', 'Title': 'For A Continuing Church - The Roots Of The Presbyterian Church In America', 'Authors': ['Sean Michael Lucas'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
7,100 Words Kids Need to Read by 3rd Grade: Sight Word Practice to Build Strong Readers,9780439399319,"{'ISBN-13': '9780439399319', 'Title': '100 Words Kids Need To Read By 3Rd Grade - Sight Word Practice To Build Strong Readers', 'Authors': ['Inc. Scholastic'], 'Publisher': 'SCHOLASTIC', 'Year': '2001', 'Language': 'en'}"
8,A Year on Ladybug Farm,9780425225875,"{'ISBN-13': '9780425225875', 'Title': 'A Year On Ladybug Farm', 'Authors': ['Donna Ball'], 'Publisher': 'Penguin', 'Year': '2009', 'Language': 'en'}"
9,"Euthanasia: Which ""M"" is it? Mercy or Murder?",9781467883252,"{'ISBN-13': '9781467883252', 'Title': 'Euthanasia - Which M Is It? Mercy Or Murder?', 'Authors': ['Zakyah Basri'], 'Publisher': '', 'Year': '2012', 'Language': 'en'}"
