,0,1,2
0,What You Will See Inside a Hindu Temple,9781594731167,"{'ISBN-13': '9781594731167', 'Title': 'What You Will See Inside A Hindu Temple', 'Authors': ['Mahendra Jani', 'Vandana Jani'], 'Publisher': 'SkyLight Paths Publishing', 'Year': '2005', 'Language': 'en'}"
1,"Dracula, Prince of Many Faces: His Life and His Times",9780316286565,"{'ISBN-13': '9780316286565', 'Title': 'Dracula, Prince Of Many Faces - His Life And His Times', 'Authors': ['Radu R Florescu', 'Raymond T. McNally'], 'Publisher': 'Back Bay Books', 'Year': '1990', 'Language': 'en'}"
2,"Atlas of Neuroradiologic Embryology, Anatomy, and Variants",9780781716529,"{'ISBN-13': '9780781716529', 'Title': 'Atlas Of Neuroradiologic Embryology, Anatomy, And Variants', 'Authors': ['J. Randy Jinkins'], 'Publisher': 'Lippincott Williams & Wilkins', 'Year': '2000', 'Language': 'en'}"
3,High Seas Drifter (Cruise Confidential),9781522073192,"{'ISBN-13': '9781522073192', 'Title': 'High Seas Drifter - Cruise Confidential 4', 'Authors': ['Brian David Bruns'], 'Publisher': '', 'Year': '2017', 'Language': 'en'}"
4,The Journal of Helene Berr,9781602860940,"{'ISBN-13': '9781602860940', 'Title': 'The Journal of Hélène Berr', 'Authors': ['Hélène Berr'], 'Publisher': 'Da Capo Lifelong', 'Year': '2008', 'Language': 'en'}"
5,Living Analytics Methods for the Social Web,9781492194248,"{'ISBN-13': '9781492194248', 'Title': 'Living Analytics Methods For The Social Web', 'Authors': ['Ernesto Díaz-Aviles'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
6,THE ORACLE TRAVELS LIGHT: PRINCIPLES OF MAGIC WITH CARDS,9788792633286,"{'ISBN-13': '9788792633286', 'Title': 'The Oracle Travels Light - Principles Of Magic With Cards', 'Authors': ['Camelia Elias'], 'Publisher': 'Eyecorner Press', 'Year': '2015', 'Language': 'en'}"
7,"Pruning Made Easy: A Gardener's Visual Guide to When and How to Prune Everything, from Flowers to Trees (Storey's Gardening Skills Illustrated Series)",9781580170062,"{'ISBN-13': '9781580170062', 'Title': ""Pruning Made Easy - A Gardener's Visual Guide To When And How To Prune Everything, From Flowers To Trees"", 'Authors': ['Lewis Hill'], 'Publisher': 'Storey Publishing', 'Year': '1998', 'Language': 'en'}"
8,The Devil's Defender: My Odyssey Through American Criminal Justice from Ted Bundy to the Kandahar Massacre,9781613734872,"{'ISBN-13': '9781613734872', 'Title': ""The Devil's Defender - My Odyssey Through American Criminal Justice From Ted Bundy To The Kandahar Massacre"", 'Authors': ['John Henry Browne'], 'Publisher': 'Chicago Review Press', 'Year': '2016', 'Language': 'en'}"
9,Investment Crowdfunding: What Businesses Need to Know When Navigating the Federal and Michigan Securities Registration Exemptions that Permit Investment Crowdfunding,9780692515754,"{'ISBN-13': '9780692515754', 'Title': 'Investment Crowdfunding', 'Authors': ['Iris Linder', 'Nicholas Oertel'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
