,0,1,2
0,Fatal Affair,9780373004157,"{'ISBN-13': '9780373004157', 'Title': 'Fatal Affair - One Night With You', 'Authors': ['Marie Force'], 'Publisher': 'Fatal', 'Year': '2016', 'Language': 'en'}"
1,Korean Children's Favorite Stories,9780804835916,"{'ISBN-13': '9780804835916', 'Title': ""Korean Children's Favorite Stories"", 'Authors': ['Kim So-Un', 'Jeong Kyoung-Sim'], 'Publisher': 'Tuttle Publishing', 'Year': '2004', 'Language': 'en'}"
2,Sports Illustrated Kids Big Book of Why Sports Edition,9781618930354,"{'ISBN-13': '9781618930354', 'Title': 'Big Book Of WHY Sports', 'Authors': ['The Editors of Sports Illustrated Kids'], 'Publisher': 'Sports Illustrated Kids', 'Year': '2012', 'Language': 'en'}"
3,The Moon and Sixpence,9780099284765,"{'ISBN-13': '9780099284765', 'Title': 'The Moon And Sixpence', 'Authors': ['W. Somerset Maugham'], 'Publisher': 'Random House', 'Year': '1999', 'Language': 'en'}"
4,Before John Was a Jazz Giant: A Song of John Coltrane,9780805079944,"{'ISBN-13': '9780805079944', 'Title': 'Before John Was A Jazz Giant - A Song Of John Coltrane', 'Authors': ['Carole Boston Weatherford'], 'Publisher': 'Henry Holt Books for Young Readers', 'Year': '2008', 'Language': 'en'}"
5,Day of Tears,9781423104094,"{'ISBN-13': '9781423104094', 'Title': 'Day Of Tears', 'Authors': ['Julius Lester'], 'Publisher': 'Jump At The Sun', 'Year': '2007', 'Language': 'en'}"
6,Johnny Appleseed: The Legend and the Truth,9780060591359,"{'ISBN-13': '9780060591359', 'Title': 'Johnny Appleseed - The Legend And The Truth', 'Authors': ['Jane Yolen'], 'Publisher': 'Harper Collins', 'Year': '2008', 'Language': 'en'}"
7,"Welcome Home, Tessa [Allure, Wyoming] (Siren Publishing Menage Amour)",9781622423767,"{'ISBN-13': '9781622423767', 'Title': 'Welcome Home, Tessa', 'Authors': ['Madison Maxwell'], 'Publisher': 'Siren Pub Incorporated', 'Year': '2013', 'Language': 'en'}"
8,The Ghost from the Grand Banks and the Deep Range,did not work,did not work
9,Viking!,9781480216440,"{'ISBN-13': '9781480216440', 'Title': 'Viking Language 1 - Learn Old Norse, Runes, And Icelandic Sagas', 'Authors': ['Jesse L. Byock'], 'Publisher': 'Createspace Independent Pub', 'Year': '2013', 'Language': 'en'}"
