,0,1,2
0,"Mastering the AS/400: A Practical Hands-On Guide, Third Edition",9781583040706,"{'ISBN-13': '9781583040706', 'Title': 'Mastering The AS/400 - A Practical, Hands-On Guide', 'Authors': ['Jerry Fottral'], 'Publisher': 'System iNetwork', 'Year': '2000', 'Language': 'en'}"
1,Global Political Economy: Evolution and Dynamics,9781137523112,"{'ISBN-13': '9781137523112', 'Title': 'Global Political Economy - Evolution And Dynamics', 'Authors': [""Robert O'Brien"", 'Marc Williams'], 'Publisher': 'Red Globe Press', 'Year': '2016', 'Language': 'en'}"
2,"Serenity, Vol. 2: Better Days",9781595821621,"{'ISBN-13': '9781595821621', 'Title': 'Better Days /Script By Joss Whedon And Brett Matthews - Art By Will Conrad', 'Authors': ['Joss Whedon'], 'Publisher': '', 'Year': '2008', 'Language': 'en'}"
3,Carrying Stones: A Spiritual Journey on El Camino,9781515169864,"{'ISBN-13': '9781515169864', 'Title': 'Carrying Stones: A Spiritual Journey On El Camino', 'Authors': ['Marcia Whitney-Schenck'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
4,A Land Gone Lonesome: An Inland Voyage Along the Yukon River,9781582433646,"{'ISBN-13': '9781582433646', 'Title': 'A Land Gone Lonesome - An Inland Voyage Along The Yukon River', 'Authors': [""Dan O'Neill""], 'Publisher': 'Counterpoint LLC', 'Year': '2007', 'Language': 'en'}"
5,Full Disclosure,9781984829955,"{'ISBN-13': '9781984829955', 'Title': 'Full Disclosure', 'Authors': ['Camryn Garrett'], 'Publisher': 'Knopf Books for Young Readers', 'Year': '2019', 'Language': 'en'}"
6,Fear Up Harsh: An Army Interrogator's Dark Journey Through Iraq,9780451223159,"{'ISBN-13': '9780451223159', 'Title': ""Fear Up Harsh - An Army Interrogator's Dark Journey Through Iraq"", 'Authors': ['Tony Lagouranis', 'Allen Mikaelian'], 'Publisher': 'New Amer Library', 'Year': '2008', 'Language': 'en'}"
7,Frank Lloyd Wright: Architect: An Illustrated Biography,9780847816835,"{'ISBN-13': '9780847816835', 'Title': 'Frank Lloyd Wright, Architect - An Illustrated Biography', 'Authors': ['Alexander O. Boulton'], 'Publisher': 'Rizzoli International Publications', 'Year': '1993', 'Language': 'en'}"
8,"Ammo & Ballistics 5: Ballistic Data out to 1,000 Yards for over 190 Calibers and over 2,600 Different Loads, Includes Data on All Factory Centerfire and Rimfire Cartridges for All Rifles and Handguns",9781571574022,"{'ISBN-13': '9781571574022', 'Title': 'Ammo & Ballistics 5 - Ballistic Data Out To 1000 Yards For Over 190 Calibers And Over 2,600 Factory Loads. Includes Data On All Factory Centerfire And Rimfire Cartridges Fo', 'Authors': ['Bob Forker'], 'Publisher': 'Safari Press', 'Year': '2013', 'Language': 'en'}"
9,PLAYGIRL MAGAZINE April 1974 Peter Lupus 4-page spread!,9783030197995,"{'ISBN-13': '9783030197995', 'Title': 'The Palgrave Handbook Of Masculinity And Sport', 'Authors': ['Rory Magrath', 'Jamie Cleland', 'Eric Anderson'], 'Publisher': 'Springer Nature', 'Year': '2019', 'Language': 'en'}"
